_id,Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
1,20200301,1,,z
2,20200303,1,,z
3,20200304,1,,z
4,20200305,3,,z
5,20200306,4,,z
6,20200307,2,,z
7,20200308,1,1.85714285714286,""
8,20200309,6,2.57142857142857,""
9,20200310,9,3.71428571428571,""
10,20200311,14,5.57142857142857,""
11,20200312,7,6.14285714285714,""
12,20200313,4,6.14285714285714,""
13,20200314,9,7.14285714285714,""
14,20200315,8,8.14285714285714,""
15,20200316,10,8.71428571428571,""
16,20200317,22,10.5714285714286,""
17,20200318,18,11.1428571428571,""
18,20200319,26,13.8571428571429,""
19,20200320,47,20,""
20,20200321,49,25.7142857142857,""
21,20200322,37,29.8571428571429,""
22,20200323,71,38.5714285714286,""
23,20200324,72,45.7142857142857,""
24,20200325,92,56.2857142857143,""
25,20200326,108,68,""
26,20200327,118,78.1428571428571,""
27,20200328,140,91.1428571428571,""
28,20200329,117,102.571428571429,""
29,20200330,153,114.285714285714,""
30,20200331,146,124.857142857143,""
31,20200401,187,138.428571428571,""
32,20200402,141,143.142857142857,""
33,20200403,179,151.857142857143,""
34,20200404,130,150.428571428571,""
35,20200405,133,152.714285714286,""
36,20200406,168,154.857142857143,""
37,20200407,142,154.285714285714,""
38,20200408,120,144.714285714286,""
39,20200409,109,140.142857142857,""
40,20200410,96,128.285714285714,""
41,20200411,64,118.857142857143,""
42,20200412,66,109.285714285714,""
43,20200413,84,97.2857142857143,""
44,20200414,83,88.8571428571429,""
45,20200415,76,82.5714285714286,""
46,20200416,77,78,""
47,20200417,80,75.7142857142857,""
48,20200418,60,75.1428571428571,""
49,20200419,47,72.4285714285714,""
50,20200420,55,68.2857142857143,""
51,20200421,55,64.2857142857143,""
52,20200422,50,60.5714285714286,""
53,20200423,51,56.8571428571429,""
54,20200424,68,55.1428571428571,""
55,20200425,30,50.8571428571429,""
56,20200426,30,48.4285714285714,""
57,20200427,57,48.7142857142857,""
58,20200428,51,48.1428571428571,""
59,20200429,35,46,""
60,20200430,35,43.7142857142857,""
61,20200501,38,39.4285714285714,""
62,20200502,34,40,""
63,20200503,32,40.2857142857143,""
64,20200504,39,37.7142857142857,""
