Census date,Value (WTE),"",Vacancy note
2013-06-30 00:00:00,456.9,"#,##0.0", 
2013-09-30 00:00:00,424.0,"#,##0.0", 
2013-12-31 00:00:00,411.3,"#,##0.0", 
2014-03-31 00:00:00,452.5,"#,##0.0", 
2014-06-30 00:00:00,481.2,"#,##0.0", 
2014-09-30 00:00:00,487.4,"#,##0.0", 
2014-12-31 00:00:00,400.1,"#,##0.0", 
2015-03-31 00:00:00,402.7,"#,##0.0", 
2015-06-30 00:00:00,480.3,"#,##0.0", 
2015-09-30 00:00:00,411.4,"#,##0.0", 
2015-12-31 00:00:00,481.3,"#,##0.0", 
2016-03-31 00:00:00,435.1,"#,##0.0", 
2016-06-30 00:00:00,521.4,"#,##0.0", 
2016-09-30 00:00:00,437.4,"#,##0.0", 
2016-12-31 00:00:00,425.6,"#,##0.0", 
2017-03-31 00:00:00,463.0,"#,##0.0", 
2017-06-30 00:00:00,543.4,"#,##0.0", 
2017-09-30 00:00:00,498.2,"#,##0.0", 
2017-12-31 00:00:00,414.0,"#,##0.0", 
2018-03-31 00:00:00,536.4,"#,##0.0", 
2018-06-30 00:00:00,591.3,"#,##0.0", 
2018-09-30 00:00:00,541.7,"#,##0.0", 
2018-12-31 00:00:00,607.2,"#,##0.0", 
2019-03-31 00:00:00,584.5,"#,##0.0", 
2019-06-30 00:00:00,597.6,"#,##0.0", 
2019-09-30 00:00:00,608.2,"#,##0.0", 
2019-12-31 00:00:00,724.3,"#,##0.0", 
2020-03-31 00:00:00,416.0,"#,##0.0","Please note due to the COVID-19 pandemic, reduced data on vacancies are reported due to additional demand this placed on colleagues in NHS boards. See notes tab."
2020-06-30 00:00:00,414.0,"#,##0.0","Please note due to the COVID-19 pandemic, reduced data on vacancies are reported due to additional demand this placed on colleagues in NHS boards. See notes tab."
2020-09-30 00:00:00,549.3,"#,##0.0", 
2020-12-31 00:00:00,546.5,"#,##0.0","Please note due to the COVID-19 pandemic, reduced data on vacancies are reported due to additional demand this placed on colleagues in NHS boards. See notes tab."
2021-03-31 00:00:00,810.8,"#,##0.0", 
2021-06-30 00:00:00,771.4,"#,##0.0", 
2021-09-30 00:00:00,1034.8,"#,##0.0", 
2021-12-31 00:00:00,1197.6,"#,##0.0", 
2022-03-31 00:00:00,1157.2,"#,##0.0", 
2022-06-30 00:00:00,1127.7,"#,##0.0", 
2022-09-30 00:00:00,1252.4,"#,##0.0", 
2022-12-31 00:00:00,1268.7,"#,##0.0", 
2023-03-31 00:00:00,1034.5,"#,##0.0", 
2023-06-30 00:00:00,1009.8,"#,##0.0", 
